street,level,median_length,median_delay,median_speed_kmh,total_records,date
N14 Jenderal Sudirman,2,807,67,20.64,2,9/3/2022
N14 Jenderal Sudirman,1,1324,62,29.06,7,9/3/2022
N14 Jenderal Sudirman,2,1065.5,74,23.380001,4,9/3/2022
N14 Jenderal Sudirman,3,583,122,12.3,4,9/3/2022
N14 Jenderal Sudirman,1,1325,61,29.25,8,9/3/2022
N14 Jenderal Sudirman,2,1324,77,25.11,71,9/3/2022
N14 Jenderal Sudirman,3,866,150,13.594999,16,9/3/2022
N14 Jenderal Sudirman,1,1325,61,29.27,11,9/3/2022
N14 Jenderal Sudirman,2,866,61.5,23.275,6,9/3/2022
N14 Jenderal Sudirman,3,401,104,10.03,2,9/3/2022
N14 Jenderal Sudirman,2,639,60,19.12,3,9/3/2022
N14 Jenderal Sudirman,2,1325,75,26.45,19,9/3/2022
N14 Jenderal Sudirman,1,1182,64,28.27,3,9/4/2022
N14 Jenderal Sudirman,2,1325,132,20.17,11,9/4/2022
N14 Jenderal Sudirman,2,663,81,16.88,6,9/4/2022
N14 Jenderal Sudirman,2,580,81,15.33,3,9/4/2022
N14 Jenderal Sudirman,3,484,78,13.89,3,9/4/2022
N14 Jenderal Sudirman,2,866,75,20.28,7,9/4/2022
N14 Jenderal Sudirman,2,807,68,20.57,16,9/4/2022
N14 Jenderal Sudirman,2,979,61,25.13,11,9/4/2022
N14 Jenderal Sudirman,1,1325,67,28.2,7,9/4/2022
